Name,Portions (g),Calories (kcal),Protein (g),Carbs (g),Fat (g),Category
cumi-cumi,100,92,15.6,3.1,1.4,Animal Based
dada ayam,100,195,29.6,0.0,7.7,Animal Based
daging bebek,100,132,18.3,0.0,6.0,Animal Based
daging dada kalkun,100,104,17.1,4.2,1.7,Animal Based
daging domba,100,292,24.3,0.0,20.8,Animal Based
daging kalkun,100,119,21.8,0.0,2.9,Animal Based
daging kornet (sapi),100,251,18.2,0.5,19.0,Animal Based
daging sapi,100,250,26.0,0.0,15.0,Animal Based
gurita,100,82,14.9,2.2,1.0,Animal Based
ikan bandeng,100,123,20.0,0.0,5.0,Animal Based
ikan cakalang,100,131,28.0,0.0,1.3,Animal Based
ikan kakap merah,100,100,20.5,0.0,1.3,Animal Based
ikan kembung,100,167,19.3,0.0,9.4,Animal Based
ikan lele,100,153,18.0,0.0,8.1,Animal Based
ikan nila,100,128,26.0,0.0,2.7,Animal Based
ikan patin,100,105,18.0,0.0,2.9,Animal Based
ikan sarden,100,109,19.9,0.0,1.8,Animal Based
ikan teri,100,210,29.0,0.0,10.0,Animal Based
ikan tuna,100,131,28.0,0.0,1.3,Animal Based
kepiting,100,101,20.0,,1.8,Animal Based
kulit ayam,100,454,20.4,0.0,40.7,Animal Based
lobster,100,97,21.0,1.4,0.6,Animal Based
paha ayam,100,245,24.9,0.0,15.4,Animal Based
sayap ayam,100,288,26.6,0.0,19.3,Animal Based
telor ayam,100,143,13.0,0.7,10.0,Animal Based
udang,100,99,24.0,0.2,0.3,Animal Based
acar,100,18,0.6,4.1,0.2,Plant Based
air kelapa,100,19,0.7,3.7,0.2,Plant Based
almond,100,575,21.0,22.0,49.0,Plant Based
alpukat,100,160,2.0,8.5,14.7,Plant Based
anggur,100,69,0.7,18.1,0.2,Plant Based
apel,100,52,0.3,13.8,0.2,Plant Based
bagel gandum,100,286,10.41,58.4,1.4,Plant Based
bawang merah,100,42,0.9,10.1,0.1,Plant Based
bawang putih,100,149,6.4,33.0,0.5,Plant Based
bayam,100,23,2.9,3.6,0.4,Plant Based
bihun,100,109,0.9,24.9,0.2,Plant Based
blackberry,100,43,1.4,9.6,0.5,Plant Based
blueberi,100,57,0.7,14.5,0.3,Plant Based
brokoli,100,33,2.8,7.0,0.4,Plant Based
buah pir,100,53,0.4,15.5,0.1,Plant Based
buncis,100,30,1.8,7.0,0.1,Plant Based
cabe rawit,100,318,12.0,56.6,17.3,Plant Based
ceri manis,100,63,1.1,16.0,0.2,Plant Based
chia seed,100,486,17.0,42.0,31.0,Plant Based
chickpea (Kacang Arab),100,364,19.0,61.0,6.0,Plant Based
daun bawang,100,32,1.8,7.3,0.2,Plant Based
edemame,100,121,11.0,10.0,5.0,Plant Based
jagung,100,86,3.2,19.0,1.2,Plant Based
jamur,100,22,3.1,3.3,0.3,Plant Based
jeruk,100,47,0.9,11.8,0.1,Plant Based
jeruk bali,100,32,0.6,8.1,0.1,Plant Based
jeruk mandarin,100,53,0.8,13.3,0.3,Plant Based
jeruk nipis,100,30,0.7,10.5,0.2,Plant Based
kacang hijau,100,347,24.0,63.0,1.2,Plant Based
kacang polong,100,42,2.8,7.6,0.2,Plant Based
kembang kol,100,25,2.0,5.3,0.1,Plant Based
kentang,100,88,1.9,20.1,0.1,Plant Based
kubis,100,24,1.4,5.6,0.1,Plant Based
kurma,100,282,2.5,75.0,0.4,Plant Based
labu,100,26,1.0,6.5,0.1,Plant Based
lobak,100,28,0.9,6.4,0.1,Plant Based
makaroni,100,157,5.8,30.7,0.9,Plant Based
makaroni gandum,100,123,5.3,26.4,0.5,Plant Based
mangga,100,65,0.5,17.0,0.3,Plant Based
mie,100,137,4.5,25.0,2.0,Plant Based
mie gandum,100,120,5.3,23.5,1.4,Plant Based
nanas,100,48,0.5,12.6,0.1,Plant Based
nasi merah,100,110,2.6,22.8,0.9,Plant Based
nasi putih,100,129,2.7,27.9,0.3,Plant Based
oatmeal,100,62,2.6,10.8,1.0,Plant Based
oatmeal instan,100,91,2.5,18.2,1.2,Plant Based
pepaya,100,39,0.6,9.8,0.1,Plant Based
pisang,100,89,1.1,22.8,0.3,Plant Based
