Name,Meal Type,Serving,Prep Time,Cook Time,Ingredients,Intructions,Energi_kj,Lemak_g,Protein_g,Karbohidrat_g,Kalori_kkal,Lemak Jenuh_g,Lemak Trans_g,Lemak tak Jenuh Ganda_g,Lemak tak Jenuh Tunggal_g,Kolesterol_mg,Serat_g,Gula_g,Sodium_mg,Kalium_mg
Donat,"['Roti & Produk Panggang', 'Makanan Ringan', 'Makanan Penutup', 'Makan Pagi']",12 porsi,20 menit,15 menit,"['3 gram ragi', '40 gram kuning telur', '30 gram gula pasir', '130 ml susu uht full cream', '15 g susu', '250 g tepung terigu cakra kembar']","['Campur semua bahan kering.', 'Tambahkan semua bahan basah dan uleni hingga halus.', 'Diamkan hingga ukurannya dua kali lipat.', 'Bentuk adonan dan goreng hingga berwarna cokelat keemasan.']",444 kj,"1,73g","3,7g","19,3g",106 kkal,"0,634g",0,"0,205g","0,528g",43mg,"0,1g","3,46g",10mg,26mg
Muffin Oat Pisang,"['Roti & Produk Panggang', 'Makanan Penutup', 'Makanan Ringan', 'Makan Pagi']",5 porsi,10 menit,25 menit,"['1 sedang telur', '1 sdt ekstrak vanila', '154 gram pisang', '5 gram baking soda', '6 gram madu', '100 g quick cooking oatmeal', '50 g squeeze yoghurt']","['Masukan semua bahan pada blender.', 'Setelah tercampur, bagi adonan ke dalam cetakan.', 'Panggang dengan suhu 175°C selama 25 menit.']",571 kj,"2,98g","4,02g","23,62g",136 kkal,"0,593g",0g,"0,714g","1,203g",37mg,"2,5g","5,93g",295mg,138mg
Banana Bread Oats,"['Makanan Ringan', 'Makanan Penutup', 'Roti & Produk Panggang', 'Makan Pagi']",4 porsi,15 menit,15 menit,"['2 besar telur', '1 sdt kayu manis', '115 g banana', '120 g instant oatmeal grain', '120 ml almond breeze vanilla', '10 g baking powder', '13 g 1/3 pb original', '20 g fineza chocolate button']","['Panaskan oven/airfryer dengan suhu 160°C selama 10 menit.', 'Sementara itu, campurkan semua bahan dalam blender, kecuali coklat kancing.', 'Blender adonan hingga halus. Tuang ke dalam cangkir aluminium dan hiasi tombol cokelat di atasnya.', 'Panggang adonan dengan suhu 160°C selama 15 menit.']",1032 kj,"8,53g","8,84g","32,96g",247 kkal,"1,231g",0g,"1,202g","2,24g",106mg,"4,4g","7,64g",76mg,142mg
Bilah Energi Oatmeal Cokelat,"['Makanan Ringan', 'Makanan Penutup']",16 porsi,30 menit,0 menit,"['25 gram biji bunga matahari (yang) dikuliti sangrai kering', '60 gram kurma', '40 gram kismis (tanpa biji)', '20 gram kacang almond panggang kering (tanpa tambahan garam)', '20 g choco chips', '60 g selai kacang', '150 g oatmeal', '100 g madu tj murni']","['Sangrai oatmeal sampai kecoklatan. Dinginkan sampai suhu ruang.', 'Cincang kurma dengan halus.', 'Campur semua bahan dalam satu wadah menggunakan spatula.', 'Pindahkan pada wadah, padatkan, tutup rapat. Simpan pada frezer minimal 30 menit.', 'Potong menjadi batangan.']",386 kj,"3,61g","2,06g","13,29g",92 kkal,"0,552g",0g,"0,674g","0,572g",0mg,1g,"7,44g",26mg,71mg
Kue Pisang,"['Makanan Penutup', 'Makanan Ringan', 'Lainnya', 'Roti & Produk Panggang']",4 porsi,15 menit,20 menit,"['1 besar telur', '1 sdt kayu manis', '1/4 sdt garam', '1 ekstra besar pisang', '1 sdt baking soda', '50 g instant oatmeal', '3 g stevia sweetener', '15 g wpro milk tea']","['Hancurkan pisang.', 'Aduk telur sampai berbusa, masukkan kedalam pisang.', 'Tambahkan sisa bahan dan aduk rata.', 'Bagi adonan ke dalam cetakan dan panggang dalam oven dengan suhu 210°C selama 15-20 menit.']",492 kj,"2,76g","6,3g","19,31g",118 kkal,"0,674g",0g,"0,559g","1,026g",57mg,"2,4g","4,88g",492mg,156mg
Mie Shirataki Goreng,"['Hidangan Utama', 'Makanan Ringan', 'Makan Siang']",2 porsi,15 menit,10 menit,"['1 sejumput salt', '1 buah utuh portabella mushrooms', '30 gram cherry tomatoes', '3 ml minyak goreng', '1 sdm kecap manis', '75 g mie kering shirataki', '8 g sambal bawang', '45 g dada ayam', '65 g telur omega']","['Panaskan wajan dengan minyak dan tumis irisan dada ayam dan jamur.', 'Tambahkan telur orak-arik sebelumnya, irisan tomat, dan bahan lainnya, masak hingga matang.', 'Pindahkan ke piring dan sajikan. Menikmati.']",732 kj,"5,92g","9,13g","19,04g",175 kkal,"1,303g",0g,"0,968g","0,819g",19mg,"2,8g","8,15g",439mg,324mg
Kue Gandum Pisang,"['Roti & Produk Panggang', 'Makan Pagi', 'Makanan Ringan']",8 porsi,30 menit,30 menit,"['30 gram susu', '1 ekstra besar telur', '175 gram pisang', '1 sdm madu', '50 gram tepung terigu putih (semua keperluan)', '10 g bubuk pengembang', '80 g gulungan gandum']","['Kupas dan haluskan pisang. Campur dengan telur, susu, dan madu.', 'Tambahkan bahan kering dan aduk rata.', 'Pindahkan ke loyang dan masak dalam oven dengan suhu 180°C selama 30 menit.', 'Biarkan dingin, buka cetakannya, dan potong-potong.']",433 kj,"1,93g","3,18g","19,26g",103 kkal,"0,429g",0g,"0,52g","0,684g",31mg,"1,5g","5,35g",12mg,102mg
Gandum dengan Buah,"['Makan Pagi', 'Makanan Ringan']",2 porsi,10 menit,10 menit,"['1 sdm madu', '1 gelas yogurt stroberi', '3 sdm gandum', '100 g buah naga', '100 g apel']","['Masak gandum dengan air sesuai kemasan.', 'Pindahkan ke mangkuk lalu tambahkan yogurt.', 'Iris buah dan tambahkan ke mangkuk. Gerimis dengan madu.']",1050 kj,"3,8g","4,57g","50,22g",251 kkal,"1,525g","0,085g",0g,"0,75g",5mg,"4,4g","21,3g",16mg,96mg
Saus Cokelat,['Saus dan Bumbu'],4 porsi,5 menit,10 menit,"['10 gram mentega', '250 ml air', '25 gram tepung terigu putih (semua keperluan)', '10 g serat pembuat krim', '25 g coklat bubuk']","['Panaskan air dalam panci tapi jangan sampai mendidih.', 'Tambahkan bahan kering sambil diaduk.', 'Lanjutkan mengaduk sampai semuanya larut.', 'Matikan api lalu masukkan mentega. Campur dengan baik.']",327 kj,"3,65g","2,12g","9,56g",78 kkal,"2,439g",0g,"0,102g","0,531g",6mg,1g,"0,02g",2mg,7mg
Sandwich Telur Dadar,"['Makan Pagi', 'Makanan Ringan']",1 porsi,15 menit,0 menit,"['1 daun sedang selada', '1 besar telur dadar', '1 utuh sedang tomat merah', '1 lembar roti tawar gandum']","['Panggang roti dalam wajan antilengket selama satu menit di setiap sisi.', 'Atur telur dadar dan sayuran di dalam roti.', 'Iris dan sajikan.']",1280 kj,"11,59g","13,63g","36,48g",306 kkal,"4,111g",0,"1,451g","3,107g",217mg,"7,6g","5,77g",435mg,373mg
